Ticker,Date,Share_Price_D-1,Share_Price_D1,Share_Price_D5,Perc_Return_D1,Perc_Return_D5,XBI_Price_D-1,XBI_Price_D1,XBI_Price_D5,XBI_Return_D1,XBI_Return_D5,row_id
BNTX,7/30/2024,86.61,86.74,79.5,0.001500981,-0.082092137,100.27,99.06,94.44,-0.012067418,-0.058143014,1654
AVXL,7/30/2024,7.04,6.31,6.815,-0.103693182,-0.031960227,100.27,99.06,94.44,-0.012067418,-0.058143014,1655
INCY,7/30/2024,68.59,67.79,61.27,-0.011663508,-0.106721096,100.27,99.06,94.44,-0.012067418,-0.058143014,1656
IMNN,7/30/2024,15.52173,43.30433,15.13043,1.789916459,-0.025209819,100.27,99.06,94.44,-0.012067418,-0.058143014,1657
PTCT,7/30/2024,32.52,33.03,32.09,0.015682657,-0.013222632,100.27,99.06,94.44,-0.012067418,-0.058143014,1658
NKGN,7/30/2024,1.25,1.07,0.97,-0.144,-0.224,100.27,99.06,94.44,-0.012067418,-0.058143014,1659
PMN,7/30/2024,1.66,1.3706,1.42,-0.174337349,-0.144578313,100.27,99.06,94.44,-0.012067418,-0.058143014,1660
NAMS,7/30/2024,17.25,16.18,16.23,-0.062028986,-0.059130435,100.27,99.06,94.44,-0.012067418,-0.058143014,1661
FGEN,7/30/2024,28,25.75,11,-0.080357143,-0.607142857,100.27,99.06,94.44,-0.012067418,-0.058143014,1662
FGEN,7/30/2024,28,25.75,11,-0.080357143,-0.607142857,100.27,99.06,94.44,-0.012067418,-0.058143014,1663
PEPG,7/30/2024,17.51,16.98,9.39,-0.030268418,-0.463735009,100.27,99.06,94.44,-0.012067418,-0.058143014,1664
JNJ,7/31/2024,161.33,157.85,158.9,-0.021570694,-0.015062295,98.99,98.67,92.36,-0.00323265,-0.066976462,1665
HUMA,7/31/2024,8.2,9.46,7.83,0.153658537,-0.045121951,98.99,98.67,92.36,-0.00323265,-0.066976462,1666
ACHV,7/31/2024,4.93,4.98,4.405,0.010141988,-0.106490872,98.99,98.67,92.36,-0.00323265,-0.066976462,1667
VCNX,7/31/2024,8.06,5.1,4.8,-0.367245658,-0.404466501,98.99,98.67,92.36,-0.00323265,-0.066976462,1668
ALXO,7/31/2024,5.45,4.8,2.57,-0.119266055,-0.528440367,98.99,98.67,92.36,-0.00323265,-0.066976462,1669
